#location_lat,location_long,reaching_time,stop_time,wait_time,distance_from_last_stop,mean_speed_in_m/s,standard_deviation_of_speed,stop_number,slow_speed_fraction,sound_feature,wifi_density,Time
23.5637,87.28105333,37357,0,9,103.503391036,4.1401356415,1.1766483068,1,0.04,0,0.0289845576,10.3769444444
23.5629794762,87.2797557939,37399,0,17,102.421865572,3.2006832991,1.4298825798,2,0.34375,0,0.0585812411,10.3886111111
23.5599646939,87.2766435074,37507,0,12,447.191352199,4.9687928022,1.425634711,3,0.0333333333,0,0.0939195264,10.4186111111
23.5582182485,87.2752981844,37556,0,14,179.353885897,4.982052386,0.8301924786,4,0,0,0.1226625221,10.4322222222
23.5575365415,87.2748363275,37578,0,12,35.8361188662,5.1194455523,1.1164067756,5,0,0,0.2511432679,10.4383333333
23.5554854757,87.2735913468,37624,0,13,219.430572488,6.6494112875,1.1645694462,6,0,0,0.1640610039,10.4511111111
23.55356333,87.27244333,37673,0,23,204.830511637,5.8523003325,1.368025182,7,0,0,0.1171700437,10.4647222222
23.5637,87.28105333,40492,0,18,53.9961634919,4.4406008777,0.7155728798,1,0,0,0.0370396686,11.2477777778
23.5629794762,87.2797557939,40553,0,21,104.381936221,2.4852841957,1.101314906,2,0.619047619,0,0.0862218151,11.2647222222
23.5599646939,87.2766435074,40669,0,9,436.266112123,4.6411288524,1.2489265449,3,0.0319148936,0,0.1169011266,11.2969444444
23.5582182485,87.2752981844,40716,0,7,184.037230168,4.9739791937,1.9600244926,4,0.1351351351,0,0.2119136436,11.31
23.5575365415,87.2748363275,40730,0,11,31.691361362,5.2818935603,0.0847654951,5,0,0,0.347097743,11.3138888889
23.5554854757,87.2735913468,40771,0,11,203.197184056,7.0067994502,1.0237469502,6,0,0,0.1624038254,11.3252777778
23.55356333,87.27244333,40814,0,12,192.291681573,6.2029574701,1.282595648,7,0,0,0.1456121231,11.3372222222
23.5499726129,87.2701351633,40915,0,11,420.148862581,4.774418893,2.1429078383,8,0.2386363636,0,0,11.3652777778
23.5637,87.28105333,44575,0,18,53.3913964744,3.1085763686,0.9764693792,1,0.28125,0,0.1311072656,12.3819444444
23.5629794762,87.2797557939,44649,0,20,112.777986894,2.0505088526,0.999389616,2,0.6363636364,0,0.1241377009,12.4025
23.5599646939,87.2766435074,44854,0,19,473.027004138,2.5707989355,1.9109746321,3,0.5597826087,0,0.150097139,12.4594444444
23.5582182485,87.2752981844,44917,0,11,184.70000027,4.2953488435,2.0678855792,4,0.2325581395,0,0.2382241469,12.4769444444
23.5575365415,87.2748363275,44936,0,10,36.0121828032,5.1445975433,0.596394994,5,0,0,0.3332205678,12.4822222222
23.5554854757,87.2735913468,45023,0,13,220.048935639,2.8953807321,2.2463645541,6,0.4736842105,0,0.2226777415,12.5063888889
23.55356333,87.27244333,45079,0,14,191.84007601,4.5676208574,1.0447864847,7,0.0476190476,0,0.1980816563,12.5219444444
23.5499726129,87.2701351633,45213,0,8,434.503628875,3.651290999,2.5224048191,8,0.3277310924,0,0.110470884,12.5591666667
23.5637,87.28105333,59853,0,8,65.1325897575,4.3294304557,1.5674686696,1,0.1379310345,0,0.0153532971,16.6258333333
23.5629794762,87.2797557939,59884,0,10,109.968940203,4.998588191,1.4695939534,2,0.0909090909,0,0.0909347674,16.6344444444
23.5599646939,87.2766435074,59999,0,10,445.529866534,4.2839410244,1.5923392123,3,0.1538461538,0,0.1189594772,16.6663888889
23.5582182485,87.2752981844,60036,0,7,182.217972693,7.0083835651,0.8361161198,4,0,0,0.2030535158,16.6766666667
23.5575365415,87.2748363275,60048,0,10,29.6982910338,7.4245727585,0.5826495291,5,0,0,0.2020318271,16.68
23.5554854757,87.2735913468,60091,0,7,206.847736102,6.4639917532,0.9074264446,6,0,0,0.2368892255,16.6919444444
23.55356333,87.27244333,60128,0,13,195.236408322,6.7322899422,1.5894218068,7,0,0,0.1946358281,16.7022222222
